id;teacher_name;email;phone;department
1;before meanwhile surge;Adriana_Schiller88@gmail.com;(450) 345-5493 x87653;how jell
2;instead;Arthur_McCullough@yahoo.com;(329) 288-9792 x4830;indeed across
3;yowza yet;Erica_Olson@hotmail.com;1-207-353-2436 x6103;decision whether
4;castanet ethical at;Urban.Emard@gmail.com;(346) 344-0217;shoot since which
5;polite colligate bowling;Candida_Funk75@hotmail.com;391-381-7041 x057;pro molasses inasmuch
6;apropos bonnet uh-huh;Leonel_Strosin97@hotmail.com;1-979-574-3913 x7817;daily
7;nor um;Fanny_Hudson59@gmail.com;724-501-4485 x4276;bidet upside-down pish
8;illiterate railway till;Piper.Murazik98@hotmail.com;(771) 621-5098 x8189;rarely
9;cram cooperative;Zechariah.Romaguera@yahoo.com;(806) 948-0962 x38105;needily ew
10;fairly agreeable roger;Dangelo.Schiller11@gmail.com;816-368-1440 x756;vengeful
